Sample	weeks	Duplicate	z	ChipBatch	ChipNr	Location	Experiment_date	Experiment_procedure	Sequencing_date	Raw_reads	Number_of_.features	localDir	localFile	Comments	Include
FH5_1000L3_CN20_C1	5	1	0	1000L3	CN20	C1	151105	manual	151117	35432474	56	Data/Fetal-Heart-5w	FH5_1000L3_CN20_C1_under_tissue.txt		1
FH5_1000L3_CN20_C2	5	2	1	1000L3	CN20	C2	151105	manual	151117	42802183	60	Data/Fetal-Heart-5w	FH5_1000L3_CN20_C2_under_tissue.txt		1
FH5_1000L3_CN20_D1	5	1	75	1000L3	CN20	D1	151105	manual	151117	38221671	69	Data/Fetal-Heart-5w	FH5_1000L3_CN20_D1_under_tissue.txt		1
FH5_1000L3_CN20_D2	5	2	76	1000L3	CN20	D2	151105	manual	151117	40923584	60	Data/Fetal-Heart-5w	FH5_1000L3_CN20_D2_under_tissue.txt		1
FH5_1000L3_CN20_E1	5	1	150	1000L3	CN20	E1	151105	manual	151117	40150864	69	Data/Fetal-Heart-5w	FH5_1000L3_CN20_E1_under_tissue.txt	Exclude dataset?	0
FH5_1000L3_CN20_E2	5	2	151	1000L3	CN20	E2	151105	manual	151117	38016905	83	Data/Fetal-Heart-5w	FH5_1000L3_CN20_E2_under_tissue.txt	Exclude dataset?	0
FH6_1000L2_CN73_E1	6	1	0	1000L2	CN73	E1	150326	robot	160620	89176207	100	Data/Fetal-Heart-6w	FH6_1000L2_CN73_E1_under_tissue.txt		1
FH6_1000L2_CN73_E2	6	2	1	1000L2	CN73	E2	150326	robot	160620	83350842	98	Data/Fetal-Heart-6w	FH6_1000L2_CN73_E2_under_tissue.txt		1
FH6_1000L2_CN73_D2	6	1	115	1000L2	CN73	D2	150326	robot	160620	76277275	153	Data/Fetal-Heart-6w	FH6_1000L2_CN73_D2_under_tissue.txt		1
FH6_1000L2_CN73_C2	6	1	200	1000L2	CN73	C2	150326	robot	160620	82851124	173	Data/Fetal-Heart-6w	FH6_1000L2_CN73_C2_under_tissue.txt		1
FH6_1000L2_CN74_E1	6	1	360	1000L2	CN74	E1	150326	manual	150831	86504781	209	Data/Fetal-Heart-6w	FH6_1000L2_CN74_E1_under_tissue.txt		1
FH6_1000L2_CN74_E2	6	2	361	1000L2	CN74	E2	150326	manual	150831	86567722	202	Data/Fetal-Heart-6w	FH6_1000L2_CN74_E2_under_tissue.txt		1
FH6_1000L2_CN74_D1	6	1	520	1000L2	CN74	D1	150326	manual	160620	67086957	175	Data/Fetal-Heart-6w	FH6_1000L2_CN74_D1_under_tissue.txt		1
FH6_1000L2_CN74_D2	6	2	521	1000L2	CN74	D2	150326	manual	151023	76964748	185	Data/Fetal-Heart-6w	FH6_1000L2_CN74_D2_under_tissue.txt		1
FH6_1000L2_CN74_C1	6	1	675	1000L2	CN74	C1	150326	manual	151023	72654593	186	Data/Fetal-Heart-6w	FH6_1000L2_CN74_C1_under_tissue.txt		1
FH6_1000L2_CN74_C2	6	2	676	1000L2	CN74	C2	150326	manual	160620	60442297	127	Data/Fetal-Heart-6w	FH6_1000L2_CN74_C2_under_tissue.txt	Tissue section not good 	0
FH9_1000L3_CN31_C1	9	1	0	1000L3	CN31	C1	151105	manual	160111	78472629	236	Data/Fetal-Heart-9w	FH9_1000L3_CN31_C1_under_tissue.txt		1
FH9_1000L3_CN31_C2	9	2	1	1000L3	CN31	C2	151105	manual	160111	96767149	242	Data/Fetal-Heart-9w	FH9_1000L3_CN31_C2_under_tissue.txt		1
FH9_1000L3_CN31_D1	9	1	145	1000L3	CN31	D1	151105	manual	160111	95976109	237	Data/Fetal-Heart-9w	FH9_1000L3_CN31_D1_under_tissue.txt		1
FH9_1000L3_CN31_D2	9	2	146	1000L3	CN31	D2	151105	manual	160111	106641157	234	Data/Fetal-Heart-9w	FH9_1000L3_CN31_D2_under_tissue.txt		1
FH9_1000L3_CN31_E1	9	1	315	1000L3	CN31	E1	151105	manual	160111	86081779	205	Data/Fetal-Heart-9w	FH9_1000L3_CN31_E1_under_tissue.txt		1
FH9_1000L3_CN31_E2	9	2	316	1000L3	CN31	E2	151105	manual	160111	83186609	212	Data/Fetal-Heart-9w	FH9_1000L3_CN31_E2_under_tissue.txt		1
