feature	V1	V2	cluster	x	y	z	week	part	nrOfVariableGenes	nrOfClusters
10_19_115_6	18.493631882211	6.56507841490641	5	10	19	115	6	None	-1	5
11_17_361_6	19.270103435649	5.88766176811859	5	11	17	361	6	None	-1	5
12_17_361_6	15.950659691638	4.38065500842266	5	12	17	361	6	None	-1	5
12_20_115_6	21.0222522051827	6.71811976506354	5	12	20	115	6	HopX	-1	5
12_9_115_6	20.7800744497985	7.36480644754505	5	12	9	115	6	None	-1	5
13_17_361_6	18.5091816378424	4.83815168186445	5	13	17	361	6	None	-1	5
13_19_361_6	14.4308398445634	1.97195290222032	5	13	19	361	6	None	-1	5
13_20_361_6	14.2022407285501	1.09917353910765	5	13	20	361	6	None	-1	5
13_21_200_6	21.1168502468253	6.82724205137369	5	13	21	200	6	None	-1	5
13_9_115_6	-5.85193736339245	-4.92149908316545	3	13	9	115	6	None	-1	5
14_11_675_6	19.9132644818444	7.53313670034114	5	14	11	675	6	None	-1	5
14_15_361_6	0.498467161548034	-7.61326886486759	2	14	15	361	6	None	-1	5
14_16_361_6	-0.0249306623887185	-7.72739512431327	2	14	16	361	6	None	-1	5
14_17_361_6	2.29329014110735	-4.47902182241816	2	14	17	361	6	None	-1	5
14_20_115_6	20.8715673542342	6.91694062098351	5	14	20	115	6	None	-1	5
14_20_361_6	-20.9591854337617	1.3469154261932	1	14	20	361	6	None	-1	5
14_21_361_6	13.7837969349359	5.38292162231517	5	14	21	361	6	None	-1	5
15_10_200_6	-5.81456434848837	-4.79786626637769	3	15	10	200	6	None	-1	5
15_12_675_6	21.0055594918568	4.97668082512973	5	15	12	675	6	None	-1	5
15_15_361_6	0.595754553156925	-7.54756374083512	2	15	15	361	6	None	-1	5
15_16_0_6	20.0223329974092	4.85375687164911	5	15	16	0	6	None	-1	5
15_16_361_6	0.0621238157727195	-7.68998218793296	2	15	16	361	6	None	-1	5
15_18_115_6	-5.63335810295217	-4.71297352836985	3	15	18	115	6	HopX	-1	5
15_20_115_6	-5.82433123901457	-4.54515660478283	3	15	20	115	6	None	-1	5
15_20_361_6	-20.6169047101832	0.243812359563989	1	15	20	361	6	None	-1	5
