feature	V1	V2	cluster	mean	NrOfGenes	x	y	z	week	part	nrOfVariableGenes	nrOfClusters
10_10_115_6	6.71041529215235	11.7950653857236	3	2.09602917341977	2468	10	10	115	6	HopX	-1	3
10_10_361_6	16.0011730099245	11.4753078027159	3	2.64318330071755	3066	10	10	361	6	HopX	-1	3
10_11_115_6	13.799562970965	13.7257574539296	3	2.09293146752781	2787	10	11	115	6	None	-1	3
10_11_361_6	-2.83487866822996	-18.3734693104466	2	2.40874140024282	2471	10	11	361	6	HopX	-1	3
10_12_115_6	22.3040562600704	3.06387093891373	3	2.34028937117418	3594	10	12	115	6	None	-1	3
10_12_361_6	15.6059469042679	3.40668538149802	3	2.45699614890886	3116	10	12	361	6	None	-1	3
10_13_115_6	17.8811598309615	12.0273157310227	3	2.3480251860332	3494	10	13	115	6	None	-1	3
10_13_361_6	14.6022750782883	4.94390082733228	3	2.41632036267473	2647	10	13	361	6	None	-1	3
10_15_115_6	17.5617407305781	11.3407157421082	3	2.17277664630007	2946	10	15	115	6	None	-1	3
10_15_361_6	12.0801455283176	-8.03326841020781	3	2.09145427286357	2001	10	15	361	6	None	-1	3
10_16_115_6	18.9329769692234	2.92209886458437	3	2.46259351620948	3208	10	16	115	6	None	-1	3
10_16_361_6	3.76469307386991	7.86974832266332	3	2.04475366679203	2659	10	16	361	6	None	-1	3
10_17_115_6	22.9776180004178	-2.95266007067641	3	2.22929522572264	3079	10	17	115	6	None	-1	3
10_18_115_6	17.8355547906854	1.91191553312657	3	1.9995670995671	2310	10	18	115	6	None	-1	3
10_18_361_6	-25.0650833588053	-9.7620469663311	2	2.73570658036677	1854	10	18	361	6	None	-1	3
10_19_115_6	1.0378287796281	11.5041616824355	1	1.7311320754717	1908	10	19	115	6	None	-1	3
10_19_361_6	-13.2443695453641	-6.85714068361189	2	1.91687817258883	1576	10	19	361	6	None	-1	3
10_20_0_6	-3.45811532921716	-5.36584241991045	2	1.50104821802935	477	10	20	0	6	None	-1	3
10_20_361_6	-21.1945371209267	-5.66742233582023	2	2.5197889182058	1895	10	20	361	6	None	-1	3
10_21_0_6	-13.3457022540655	2.40795943012413	2	1.59313725490196	1224	10	21	0	6	None	-1	3
10_21_115_6	-13.7688000394651	-1.08950647822723	2	1.88587731811698	2103	10	21	115	6	None	-1	3
10_21_361_6	-12.5933727762549	-7.32628740875892	2	1.82708933717579	1388	10	21	361	6	None	-1	3
10_22_115_6	-5.35498058248312	-21.5349735333059	2	1.67983074753173	1418	10	22	115	6	None	-1	3
10_4_361_6	7.90609535111382	11.1844678399974	3	2.20090572251956	2429	10	4	361	6	None	-1	3
10_5_361_6	13.1048985369882	-7.10015520367743	3	2.28721942281264	2183	10	5	361	6	None	-1	3
10_6_361_6	11.4301301675388	-2.07370540672261	3	2.18234250221828	2254	10	6	361	6	None	-1	3
10_7_361_6	14.4213294910742	5.6015356677383	3	2.79845531445384	2719	10	7	361	6	HopX	-1	3
10_8_361_6	15.938291708501	11.1133030727912	3	2.68903020667727	3145	10	8	361	6	None	-1	3
10_9_361_6	-3.43411695235829	-18.5253287882435	2	2.54367346938775	2450	10	9	361	6	None	-1	3
11_10_115_6	23.2209766554048	-1.63405709338194	3	2.53122251539138	3411	11	10	115	6	HopX	-1	3
11_10_361_6	16.2520468879059	11.6351722487621	3	2.59194039959363	2953	11	10	361	6	None	-1	3
11_11_115_6	21.8531597800909	2.66776213081329	3	2.403178722024	3083	11	11	115	6	None	-1	3
11_11_361_6	12.0117093206335	-18.4811367780718	3	2.15884861407249	1876	11	11	361	6	None	-1	3
11_12_115_6	19.1241675382315	7.47714961411623	3	2.13062352012628	2534	11	12	115	6	None	-1	3
